Identificador,Proceso,Nombre,Descripcion,Tipo de Activo,Categoria,Idioma,Origen,Soporte y medio de registro,Informacion disponible,Información publicada,Custodio,Estado,¿Contiene informacion personal?
SIPMV-032,Secretaría de infraestructura publica movilidad y valorización,Operario,Apoyo a las labores de la secretaría,Recurso Humano,Primario,Español,Interno,No Aplica,No Aplica,No Aplica,Secretaria de infraestructura publica movilidad y valorización,Activo,No Aplica
SPDI-001,Secretaria de Planeación y Desempeño Institucional,Impresora EPSON L210,"Son multifuncional que redefine la economía en las familias activas de hoy. Única con el sistema original de Tanque de Tinta para imprimir cientos de proyectos escolares, páginas Web, fotos y todo lo que quieras sin la molestia de tener que cambiar o recargar un cartucho.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-002,Secretaria de Planeación y Desempeño Institucional,Impresora EPSON L5290,"Son multifuncional que redefine la economía en las familias activas de hoy. Única con el sistema original de Tanque de Tinta para imprimir cientos de proyectos escolares, páginas Web, fotos y todo lo que quieras sin la molestia de tener que cambiar o recargar un cartucho.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-003,Secretaria de Planeación y Desempeño Institucional,CPU,"La CPU es el componente principal que procesa las señales y hace posible la computación. Actúa como el cerebro de cualquier dispositivo de computación. Obtiene instrucciones de la memoria, realiza las tareas necesarias y envía la salida a la memoria.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-004,Secretaria de Planeación y Desempeño Institucional,Monitor,"El monitor del computador, también conocido como pantalla, muestra la información de tu equipo como imágenes y textos, que son generados gracias a una tarjeta de video que se encuentra en el interior de la torre del computador.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-005,Secretaria de Planeación y Desempeño Institucional,Teclado,"El teclado es un dispositivo de entrada que utiliza una disposición de teclas, para que actúen como interruptores electrónicos que envían información a la computadora. El teclado tiene entre 99 y 108 teclas; y, está dividido en cuatro bloques: de funciones, alfanumérico, especial y numérico.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-006,Secretaria de Planeación y Desempeño Institucional,Computador AIO,"Una computadora todo en uno (AIO) es un equipo de cómputo que integra todos los componentes de un ordenador de escritorio en una sola unidad, incluyendo la pantalla, la CPU, los altavoces y la memoria",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-007,Secretaria de Planeación y Desempeño Institucional,Teclado,"El teclado es un dispositivo de entrada que utiliza una disposición de teclas, para que actúen como interruptores electrónicos que envían información a la computadora. El teclado tiene entre 99 y 108 teclas; y, está dividido en cuatro bloques: de funciones, alfanumérico, especial y numérico.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-008,Secretaria de Planeación y Desempeño Institucional,CPU,"La CPU es el componente principal que procesa las señales y hace posible la computación. Actúa como el cerebro de cualquier dispositivo de computación. Obtiene instrucciones de la memoria, realiza las tareas necesarias y envía la salida a la memoria.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
SPDI-009,Secretaria de Planeación y Desempeño Institucional,Monitor,"El monitor del computador, también conocido como pantalla, muestra la información de tu equipo como imágenes y textos, que son generados gracias a una tarjeta de video que se encuentra en el interior de la torre del computador.",Hardware,De soporte,No Aplica,Interno,No Aplica,Disponible,No Aplica,Secretaria de Planeación y Desempeño Institucional,Activo,No Aplica
